Exterior Description,Directions,Fireplace Y/N,Irrigation Water Rights Y/N,Inclusions,Basement,Bedrooms Possible,Window Features,Land Lease Y/N,Garage Y/N,Gulf-Front,Baths Full Lower,Interior Amenities,Living Area,Building Area Units,Street Name,Air Conditioning Y/N,Close Price,Parcel Number,FuelDescription,Stories Count,Bathrooms,Association Fee Includes,Bedrooms Upper,Property Style,PropertySubType,Assoc Fee Paid Per,Heating Y/N,Standard Status,Baths Half Lower,Accessory Dwelling Unit,Hot Water,MobileHomeRemainsYN,Public Remarks,description,Waterfront Features,Water Heater Location,Waterfront Footage,Exterior Features,ADU,Adult Family Homes,Baths Three Quarter Main,Open Parking Y/N,Total Parking,Property Subtype,Site Features,Street Suffix,1/2 Baths,Interior Features,Accessibility,Sewer,Zoning Description,Full Baths,Green Energy Generation,Heating,address,Fireplaces Lower,Skirt,Road Surface Type,Security Features,Green Verification NWESH Rating,Covered Spaces,house_size,Park Name,Middle/Junior High School,Tax Annual Amount,Virtual Tour,Building Name,WaterfrontY/N,price,Building Area Total,Subdivision Name,Year Built,NWM_ShowMapLink,MLS Area,Accessory Dwelling Unit Y/N,Bedrooms Lower,Baths Three Quarter Garage,Home Owner Assoc,HOA / Comm Assn,Community Features,Baths Full Garage,Lot Size Units,ModificationTimestamp,Pool Type,Green Building Verification Type,Baths Full Main,Lot Size Square Feet,Unit Number,Fireplaces Upper,baths,Power Production Type,Baths Three Quarter Upper,Living Area Units,Possession,Levels,Property SubType,Elementary School,Attached Garage,Building Design,Disclosures,Open Parking Spaces,Make,Roof,VA loan,Appliances,Home Owner Assoc:,Pool Features,Body Type,Legal Description,View,Other Rooms,Baths Half Main,Water Heater Type,Total Baths,Land Lease Amount Frequency,Vegetation,Status,Spa,lot_size,High School,Lot Number,Storage Locattion,Total Bathrooms,Builder Name,Baths Half Upper,Cooling,Water Source,New Construction,Senior Community Y/N,Topography,3/4 Baths,Half Baths,Total Actual Rent,Carport Spaces,Water Company,Structure Type,SeniorCommunityYn,Land Lease Amount,Terms,Fireplace Features,Pets Allowed,Flooring,High School District,Green Verification HERS Metric,Carport Y/N,Green Verification Built Green Rating,Parking Features,Entry Location,Special Listing Conditions,Exterior Amenities,AFH,Facing Direction,HOA,Tax Year,Property Type,Total Bedrooms,Energy Efficient,City,Home Owner Association Y/N,Lot Dimensions,url,Lot Size Acres,Total Fireplaces,Fireplaces Main,HOA Fee,Main Level Bedrooms,Buyer Financing,status,AttributionContact,Parking Uncovered Total,Property Condition,Baths Half Garage,Model,Architectural Style,Garage Spaces,ListingTerms,Baths Full Upper,Foundation Details,Waterfront Y/N,Baths Three Quarter Lower,beds,Listing Terms,View Y/N,County,Lot Features,Number of Homes in Park,Assoc/CIC,Latitude,Longitude
,From Military Rd SW: Head North on 109th Ave SW. Right on 103rd St SW. Home will be 3rd house on the right. GPS works great!,Yes,No,"Dishwasher(s), Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",Finished,,,No,Yes,,0,"Fireplace, Water Heater","1,660 sqft",0 sqft,,No,"$485,000 ",,,,1.5,,3,14 - Split Entry,,,Yes,Closed,1,,,,"Charming 3-bedroom home perfectly located in a quiet neighborhood near parks, schools, JBLM & historic Steilacoom! Enjoy a bright, open layout with fresh paint, new carpet, two spacious living areas, a coz","Charming 3-bedroom home perfectly located in a quiet neighborhood near parks, schools, JBLM & historic Steilacoom! Enjoy a bright, open layout with fresh paint, new carpet, two spacious living areas, a cozy fireplace & cast iron wood stove. The kitchen features stainless fridge & new dishwasher, and the primary suite includes an en-suite bathroom. Step outside to a large covered deck overlooking a fully fenced yard with room to entertain, garden shed, and sunny space for a garden. Large garage with plenty of storage & workspace. Walk to Farrell’s Marsh for a hike, minutes to beaches, ferries, golf & shopping. Located in the sought-after Steilacoom Historical School District—this is the ideal place to call home!",,Garage,,,,,0,,2,Single Family Residence,,,,,,Sewer Connected,,1,,Forced Air,"10730 103rd Street SW
Tacoma, WA 98498",1,,,,,2,"1,660 SQFT",,Pioneer Mid,"$4,579 ",,Arrowhead Estates,,"$485,000 ","1,660 sqft",Lakewood,1973,Y,36 - Lakewood,,0,0,,,,0,Square Feet,2025-10-06T11:04:47.446Z,,,0,10000,,1,1 / 1 Full / Half Baths,Natural Gas,0,,Closing,Multi/Split,,Cherrydale Elem,Yes,,,,,Composition,,"Dishwasher(s), Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,Territorial,,0,Gas,2,,Garden Space,Sold,,0.23 Acres,Steilacoom High,,,,,0,,Public,No,No,"Level, Partial Slope",0,1,,,Lakewood,House,,,,Wood Burning,,"Laminate, Carpet",Steilacoom Historica,,No,,"Driveway, Attached Garage",Split,,Wood,,North,No,2024,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2411311-10730-103rd-Street-Sw-Tacoma-WA-98498/,0.2296,2,,$0 ,0,,"SOLD: SEP 05, 2025",,,,0,,,2,,1,Poured Concrete,No,0,3 Beds,"Cash Out, Conventional, FHA, State Bond, VA Loan",,Pierce,,,,47.1632946,-122.5809843
,,No,No,,,1,,No,Yes,,0,,,0 sqft,,No,"$350,000 ",,,,1,,0,10 - 1 Story,,,No,Closed,0,,,,,,,,,Wood Products,,,0,No,2,,,,,,,,,1,,,"823 S 74th Street
Tacoma, WA 98408",,,,,,2,"1,736 SQFT",,,,,,,"$350,000 ","1,736 sqft",Fern Hill,1940,Y,53 - South Tacoma,,0,0,,,,0,Square Feet,2024-11-22T19:28:10.921Z,,,1,8160,,,1 Baths,,0,0 sqft,,One,,,Yes,Residential,,,,Composition,,,,,,,,,0,,1,,,Sold,,0.19 Acres,,,,,,0,,Public,No,No,,0,0,,,,House,,,,,,,Tacoma,,No,,Attached Garage,,,,,,No,,Residential,1,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2312637-823-S-74th-Street-Tacoma-WA-98408/,0.1873,0,,$0 ,1,,"SOLD: OCT 25, 2024",,,,0,,,2,,0,,No,0,1 Beds,,,Pierce,,,,47.1903463,-122.4449975
,"From Pacific Avenue, turn west onto 46th, to sign on right.",Yes,No,"Dryers, Microwaves, StovesRanges, Washers",,4,,No,Yes,,0,,,0 sqft,46th,No,"$425,000 ",,,,0.75,,2,11 - 1 1/2 Story,,,Yes,Closed,0,,,,"This 4-bedroom/office - Classic Craftsman has been well cared for and waiting for you to call your own!  Primary is on Main Floor!  And... Totally unexpected: a recently built, insulated & Huge heated","This 4-bedroom/office - Classic Craftsman has been well cared for and waiting for you to call your own! Primary is on Main Floor! And... Totally unexpected: a recently built, insulated & Huge heated 2-car garage plus stand-up attic with separate power panel, surround systems, compressed air hook ups, tv & cable hook up = Potential ADU. New in 2022- a $14,000 High-End remodeled bath! New flooring throughout and new Kitchen countertop in 2024 -plus- Upgraded Furnace and Hot Water tank in 2017 - in fact so much more done recently makes this a great buy! All appliances stay and are newer! Covered breezeway, Fenced yard, raised garden beds, and more! Close to schools & all shopping amenities and freeways. Hurry on this one!",,,,"Cement Planked, Wood",,,1,No,2,,"Cable TV, Fenced-Partially, Gas Available, Patio, RV Parking, Shop",Street,,"Wall to Wall Carpet, Double Pane/Storm Window, Dining Room, Fireplace",,Sewer Connected,,0,,"Forced Air, High Efficiency (Unspecified), Wall Unit(s)","415 S 46th Street
Tacoma, WA 98418",,,,FullyFenced,,2,"1,292 SQFT",,,"$3,865 ",Click here,,,"$425,000 ","1,292 sqft",Lincoln,1921,Y,51 - South Tacoma,,0,0,,No,,0,Square Feet,2024-04-28T16:28:09.064Z,,,0,"3,500 sqft",,,1 Baths,"Electric, Natural Gas",0,0 sqft,Closing,OneAndOneHalf,Residential,,No,,,,,Composition,,"Dryer(s), Microwave(s), Stove(s)/Range(s), Washer(s)",,,,,,,0,,1,,Garden Space,Sold,,0.08 Acres,,,,,,0,,Public,No,No,,1,0,,,TPU,House,,,,Wood Burning,,"Vinyl Plank, Carpet",Tacoma,,No,,"RV Parking, Driveway, Detached Garage, Off Street",Main,"Bank Or REO, None",,,,0,2023,Residential,4,Double Wall,Tacoma,,,https://www.premierepropertygroup.com/property/21-2208110-415-S-46th-Street-Tacoma-WA-98418/,0.0803,1,1,,2,,"SOLD: APR 26, 2024",,,Remodeled,0,,Craftsman,2,,0,"Post & Pillar, Poured Concrete",No,0,4 Beds,"Cash Out, Conventional, FHA, VA Loan",No,Pierce,"Alley, Paved, Sidewalk",,,47.2153948,-122.4368479
,GPS directions are accurate.,No,No,"Dishwasher(s), Dryer(s), Garbage Disposal, Refrigerator(s), Stove(s)/Range(s), Washer(s)",Finished,,,No,Yes,,0,"Bath Off Primary, Double Pane/Storm Window, Dining Room, Walk-In Closet(s), Water Heater","1,967 sqft",0 sqft,,No,"$553,500 ",,,,3.25,,3,18 - 2 Stories w/Bsmnt,,,Yes,Closed,0,,,,"Located in the highly sought-after, peaceful area of Northeast Tacoma, minutes from shops, restaurants & Federal Way's Link station.  A delightfully, spacious, gently lived-in home with 4 bedrooms & 3.25","Located in the highly sought-after, peaceful area of Northeast Tacoma, minutes from shops, restaurants & Federal Way's Link station. A delightfully, spacious, gently lived-in home with 4 bedrooms & 3.25 bathrooms. The primary bedroom, 2 guest bedrooms and 2 full bathrooms are on the top floor. The fully finished daylight basement has a large family room, a fourth bedroom, another bathroom, and a separate entry. There is a large deck on the main floor and a walk out patio from the basement overlooking the professionally landscaped, wooded backyard with all native trees and other low maintenance vegetation.The house has luxury vinyl plank flooring and newer leafguard gutters. Tour it before it's gone!",,Garage,,,,,0,,2,Single Family Residence,"Cable TV, Deck, Electric Car Charging, Fenced-Partially, Gas Available, High Speed Internet, Patio",,,,,Sewer Connected,,2,,Forced Air,"6205 26th Street NE
Tacoma, WA 98422",,,,Partially Fenced,,2,"1,967 SQFT",,,"$5,919 ",Click here,,,"$553,500 ","1,967 sqft",Ne Tacoma,2006,Y,94 - Browns Point,,1,0,,,,0,Square Feet,2025-11-14T19:55:10.743Z,,,0,"6,000 sqft",,,3 / 1 Full / Half Baths,Natural Gas,0,,Closing,Two,,NE Tacoma,Yes,,,,,Composition,,"Dishwasher(s), Disposal, Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,Territorial,,1,Gas,4,,Wooded,Sold,,0.14 Acres,Stadium,,,,,0,,Public,No,No,"Level, Partial Slope, Terraces",1,1,,,Tacoma,House,,,,,,"Ceramic Tile, Vinyl, Vinyl Plank, Carpet",Tacoma,,No,,"Driveway, Attached Garage",Main,,"Cement Planked, Stone",,South,No,2025,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2391379-6205-26th-Street-Ne-Tacoma-WA-98422/,0.1377,0,,$0 ,0,,"SOLD: SEP 30, 2025",,,Very Good,0,,,2,,2,Poured Concrete,No,1,4 Beds,"Cash Out, Conventional, FHA, State Bond, VA Loan",,Pierce,Paved,,,47.2801956,-122.3643306
,"South on Canyon Rd, West on 176th, South on 38th Ave E, W on 182nd St E.  IF GPS not working, use 3501 182nd St E. Tacoma 98445  Lot 32 Shelby plan",Yes,Yes,"Dishwasher(s), Dryer(s), Garbage Disposal, LeasedEquipment, Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,4,,No,Yes,,0,"Double Pane/Storm Window, Fireplace, High Tech Cabling, Laminate Hardwood, Walk-In Closet(s), Walk-In Pantry, Wall to Wall Carpet, Water Heater",,0 sqft,,Yes,"$659,950 ",,,,2.5,,4,12 - 2 Story,,Monthly,Yes,Closed,0,,,,"The Preserve, nestled in the Fredrickson area of Tacoma by Rush Residential offers stunning affordable homes with modern amenities and a convenient location. Homes include large kitchens: Quartz count","The Preserve, nestled in the Fredrickson area of Tacoma by Rush Residential offers stunning affordable homes with modern amenities and a convenient location. Homes include large kitchens: Quartz counters, full height subway tile backsplash, SS appliances, custom cabinet package w/ hardware, soft close doors/drawers. Main level engineered plank flooring; entry, kitchen/nook, powder & great room. Site painted millwork, luxury en-suite w/ large shower, tile counters in bathrooms. Blinds, washer/dryer, refrigerator, A/C included, covered rear patio, landscaped/fenced yards. Irrigated front yards & maintained by HOA. Easy JBLM and freeways access. Rainier plan lot 13. 3 car garage.4 bed, 3 bath.$15,000 incentive with Trusted Lender.",,Garage,,,,Residential,0,No,3,Residential,"Cable TV, Deck, Electric Car Charging, Fenced-Fully, Gas Available, High Speed Internet, Irrigation",,,,,Sewer Connected,,2,,"90%+ High Efficiency, Forced Air, Heat Pump","18314 34th Avenue Ct E
Tacoma, WA 98446",,,,,,3,"2,699 SQFT",,Buyer To Verify,$0 ,,The Preserve,,"$659,950 ","2,699 sqft",Frederickson,2024,Y,99 - Spanaway,,0,0,,,"CCRs, Playground",0,Square Feet,2025-04-07T11:01:11.961Z,,,0,5184,,,2 / 1 Full / Half Baths,"Electric, Natural Gas",0,0 sqft,Closing,Two,,Buyer To Verify,Yes,,,,,Composition,,"Dishwasher(s), Dryer(s), Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,,,1,Electric,3,,,Sold,,0.12 Acres,Buyer To Verify,13,,,"Rush Residential, Inc.",0,Heat Pump,Public,Yes,No,Level,0,1,,,Tacoma,House,,,,Electric,,"Laminate, Vinyl, Carpet",Bethel,,No,,Attached Garage,,,"Cement Planked, Wood Products",,,Yes,2024,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2301749-18314-34th-Avenue-Ct-E-Tacoma-WA-98446/,0.119,1,1,$85 ,0,,"SOLD: MAR 07, 2025",,,Very Good,0,,Craftsman,3,,2,Poured Concrete,No,0,4 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Curbs, Dead End Street, Paved, Sidewalk",,,47.0900952,-122.3841419
,"Heading west on 12th street from Union. Left on Madison, second home on the left.",Yes,No,"Dishwasher, Dryer, Refrigerator, StoveRange, Washer",Unfinished,3,,No,Yes,,0,,,0 sqft,Madison,Yes,"$494,000 ",,,,2,,0,16 - 1 Story w/Bsmnt.,,,Yes,Closed,0,,,,"Welcome to you next home, featuring 3 spacious bedrooms and 2 full baths! Fresh interior and exterior paint, new padding/carpet create a fresh, welcoming ambiance. Hardwood floors throughout the main li","Welcome to you next home, featuring 3 spacious bedrooms and 2 full baths! Fresh interior and exterior paint, new padding/carpet create a fresh, welcoming ambiance. Hardwood floors throughout the main living areas add timeless charm. The utility room provides added functionality and storage. Step into the spacious backyard, perfect for entertaining or relaxation, with a handy storage room. Other highlights include newer roof, storage addict, ample parking in back with partially fenced space. Close to schools, parks, shopping, Joint base Lewis McCord, Naval Base Kitsap, and major freeways.",,Utility Room,,Wood,,,0,No,1,,"Fenced-Partially, High Speed Internet, RV Parking",Street,,"Ceramic Tile, Hardwood, Wall to Wall Carpet, Bath Off Primary, Double Pane/Storm Window, Dining Room, Fireplace, Water Heater",,Sewer Connected,,2,,Forced Air,"1209 S Madison Street
Tacoma, WA 98405",,,,,,1,"1,267 SQFT",,Buyer To Verify,"$4,778 ",,,,"$494,000 ","1,837 sqft",North Tacoma,1946,,26 - Central Tacoma,,0,0,,No,,0,Square Feet,2024-03-08T18:29:10.176Z,,,2,"6,000 sqft",,,2 Baths,"Electric, Natural Gas, Wood",0,0 sqft,Closing,One,Residential,Buyer To Verify,Yes,,,,,Composition,,"Dishwasher, Dryer, Refrigerator, Stove/Range, Washer",,,,,Territorial,,0,gas,2,,,Sold,,0.14 Acres,Buyer To Verify,,,,,0,Forced Air,Public,No,No,Level,0,0,,,,House,,,,Wood Burning,,"Ceramic Tile, Hardwood, Carpet",Tacoma,,No,,"RV Parking, Attached Garage",Main,,,,,0,2023,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2158098-1209-S-Madison-Street-Tacoma-WA-98405/,0.1377,1,1,,3,,"SOLD: MAR 07, 2024",,,Average,0,,,1,,0,Poured Concrete,No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",Yes,Pierce,"Alley, Paved",,,47.2496273,-122.4899669
,"HWY 512 to Portland Ave Northbound. Turn right on 93rd St. Turn Right on 21st St / Chelsea Park, Home is on the left.",No,No,"Dishwasher(s), Garbage Disposal, LeasedEquipment, Refrigerator(s), Stove(s)/Range(s)",,3,,No,,,0,"Bath Off Primary, Double Pane/Storm Window, Dining Room, French Doors, Water Heater",,0 sqft,,No,"$380,000 ",,,,2,,0,21 - Manuf-Double Wide,,Monthly,Yes,Closed,0,,,,"Well maintained rambler on corner lot in Chelsea Park.  NO Age Restrictions.  NO Space Rent you own the home and land!!  This 1508 Sq. Ft. Home features 3 bedrooms, 2 full bathrooms, plus a den/office","Well maintained rambler on corner lot in Chelsea Park. NO Age Restrictions. NO Space Rent you own the home and land!! This 1508 Sq. Ft. Home features 3 bedrooms, 2 full bathrooms, plus a den/office (possible 4th Bedroom). Good size kitchen with breakfast nook and pantry. The kitchen opens up to the living and dining room. Enjoy the privacy of the split-bedroom floorplan. The Primary bedroom features a 3-piece bath and large closet. Large utility room with ample storage. The home sits next to wonderful relaxing park. Enjoy the comfort and peace of mind in having a New Roof!! Partial fenced low maintenance yard which the HOA takes care of year round. Covered car port with shed. Close to all amenities and Hwy. Welcome Home!",,Primary Bedroom closet,,,,,0,No,1,Manufactured On Land,"Fenced-Partially, Outbuildings, Sprinkler System",,,,,Sewer Connected,,2,,Forced Air,"9321 21st Avenue E
Tacoma, WA 98445",,,,,,1,"1,508 SQFT",,,"$4,045 ",Click here,Chelsea Park,,"$380,000 ","1,508 sqft",Midland,2004,Y,64 - Parkland/Midland,,0,0,,,"CCRs, Park",0,Square Feet,2025-05-06T19:02:12.333Z,,,2,"4,208 sqft",,,2 Baths,Electric,0,0 sqft,See Remarks,One,,,No,,,,Fleetwood Homes,Composition,,"Dishwasher(s), Disposal, Refrigerator(s), Stove(s)/Range(s)",,,Double Wide,,,,0,Electric,2,,,Sold,,0.10 Acres,,,,,,0,,Public,No,No,Level,0,0,,1,TPU,Manufactured House,,,,,,"Vinyl, Carpet",Franklin Pierce,,Yes,,Attached Carport,Main,,Cement Planked,,,Yes,2025,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2349933-9321-21st-Avenue-E-Tacoma-WA-98445/,0.0966,0,,$185 ,3,,"SOLD: MAY 06, 2025",,,Very Good,0,Lake Pointe XLE 4563P,,,,0,Tie Down,No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Corner Lot, Paved",,,47.1719049,-122.4009051
,"Hwy 16 towards Gig Harbor exit 3 (6th Ave), R on 6th, L on N. Orchard, house on left corner with N. 18th Street.",Yes,No,"Dishwasher(s), Garbage Disposal, Refrigerator(s), Stove(s)/Range(s), Washer(s)",,3,,No,Yes,,0,,,0 sqft,,Yes,"$525,000 ",,,,1.75,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Discover the perfect blend of classic charm and modern upgrades in this beautifully renovated brick rambler, situated on a spacious quarter-acre corner lot in the highly desirable North End neighborho","Discover the perfect blend of classic charm and modern upgrades in this beautifully renovated brick rambler, situated on a spacious quarter-acre corner lot in the highly desirable North End neighborhood. The kitchen is a chef's dream with sleek stainless steel appliances. Stay comfortable year-round with the central AC unit. Enjoy ample parking options with a 2-car garage and dedicated RV parking. The fully fenced lot features a serene gardening area and a charming gazebo, perfect for outdoor entertaining. Conveniently located close to parks, shopping, and other amenities, this home offers both tranquility and accessibility. Don't miss out on this incredible opportunity to own a move-in ready home in a prime location!",,Garage,,"Brick, Wood",,,1,No,3,Residential,"Cabana/Gazebo, Cable TV, Dog Run, Fenced-Fully, Gas Available, Gated Entry, High Speed Internet, Outbuildings, Patio, RV Parking, Sprinkler System",,,"Double Pane/Storm Window, Dining Room, Fireplace, Laminate, Wall to Wall Carpet, Water Heater",,Sewer Connected,,1,,Forced Air,"1804 N Orchard Street
Tacoma, WA 98406",,,,"PartiallyFenced, SecurityGate",,3,"1,355 SQFT",,,"$5,633 ",,,,"$525,000 ","1,355 sqft",Narrows,1965,Y,24 - North Tacoma,,0,0,,,,0,Square Feet,2024-12-28T12:02:11.467Z,,,1,"10,934 sqft",,,2 Baths,"Electric, Natural Gas",0,0 sqft,Closing,One,,,Yes,,,,,Composition,,"Dishwasher(s), Disposal, Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,,,0,Gas,2,,"Fruit Trees, Garden Space",Sold,,0.25 Acres,,,,,,0,Central A/C,Public,No,No,Level,1,0,,,Tacoma Public Utilities,House,,,,Gas,,"Laminate, Carpet",Tacoma,,Yes,,"Detached Carport, Attached Garage, RV Parking",Main,,,,,No,2024,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2249584-1804-N-Orchard-Street-Tacoma-WA-98406/,0.251,1,1,$0 ,3,,"SOLD: NOV 27, 2024",,,,0,,,3,,0,Poured Concrete,No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Corner Lot, Curbs, Paved, Sidewalk",,,47.2656692,-122.5055567
,From S 90th St North on S Asotin St.,Yes,No,"Dishwasher(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,4,,No,Yes,,0,,,0 sqft,,No,"$459,950 ",,,,2,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Nice remodeled rambler in Tacoma. Minutes to the freeways, parks, schools, entertainment, restaurants, and Bases. Floor plan is bright and full of natural light. This 4 bedroom 2 bath home features a huge","Nice remodeled rambler in Tacoma. Minutes to the freeways, parks, schools, entertainment, restaurants, and Bases. Floor plan is bright and full of natural light. This 4 bedroom 2 bath home features a huge fully fenced backyard with plenty of space to play, garden and entertain. Newer roof, newer windows, new garage door & opener, new LVP flooring, recessed lighting, new kitchen cabinets & vanity, new quartz counter tops, new stainless steel appliances, new plumbing fixtures, new lighting fixtures, painted millwork & doors, electric furnace, new water heater, and fresh paint inside & out. Front and back lawns are seeded for grass.",,,,Metal/Vinyl,,,0,No,1,Residential,"Fenced-Fully, Patio",,,"Bath Off Primary, Double Pane/Storm Window, Fireplace, Walk-In Closet(s)",,Sewer Connected,,2,,Forced Air,"8824 S Asotin Street
Tacoma, WA 98444",,,,PartiallyFenced,,1,"1,186 SQFT",,,"$3,689 ",,,,"$459,950 ","1,186 sqft",Tacoma,1968,Y,53 - South Tacoma,,0,0,,,,0,Square Feet,2025-01-20T12:03:45.455Z,,,2,"9,750 sqft",,,2 Baths,Electric,0,0 sqft,Closing,One,,,Yes,,,,,Composition,,"Dishwasher(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,,,,,,0,,2,,Garden Space,Sold,,0.22 Acres,,,,,,0,,Public,No,No,Level,0,0,,,TPU,House,,,,Wood Burning,,Vinyl Plank,Tacoma,,No,,Attached Garage,,,,,East,No,2024,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2312368-8824-S-Asotin-Street-Tacoma-WA-98444/,0.2238,1,1,$0 ,4,,"SOLD: DEC 20, 2024",,,Very Good,0,,,1,,0,Poured Concrete,No,0,4 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,Paved,,,47.176274,-122.4569505
,From S.38th St. Turn north onto S. M St. Located in the vibrant Lincoln Dist. & on a bus line.,Yes,No,"Dishwasher(s), Dryer(s), Garbage Disposal, Refrigerator(s), Stove(s)/Range(s), Washer(s)","Daylight, Finished",,,No,Yes,,0,"Ceiling Fan(s), Dbl Pane/Storm Window, Fireplace, Vaulted Ceilings, Water Heater","2,714 sqft",0 sqft,,No,"$555,000 ",,,,2,,2,13 - Tri-Level,,,Yes,Closed,2,,,,"Mid-Century Modern with a twist, there's an attached studio with a half bath and a ground level entrance. Was used as an in-home business, could be converted to an ADU. Main house features classic MCM","Mid-Century Modern with a twist, there's an attached studio with a half bath and a ground level entrance. Was used as an in-home business, could be converted to an ADU. Main house features classic MCM features such as dramatic vaulted ceilings, including the two upper bedrooms, hardwood floors, big windows that let in lots of light, and a great flow. Lower level has a large bedroom w/ 1/2 bath & fireplace. Newer gas furnace & water tank, updated piping, updated bathrooms & plenty of storage. Peaceful backyard is fenced, has a gazebo and a 2-car garage. The parking pad in front of the house and the small blue shed belong to the parcel to the north.",,downstairs storage area,,,,,0,,2,Single Family Residence,Shop,,,,,Sewer Connected,,1,,Forced Air,"3719 S M Street
Tacoma, WA 98418",1,,,,,2,"2,714 SQFT",,,"$6,059 ",,Lincoln District,,"$555,000 ","2,714 sqft",Lincoln,1957,Y,50 - South Tacoma,,1,0,,,,0,Square Feet,,,,0,6500,,,1 / 2 Full / Half Baths,"Electric, Natural Gas",0,,Closing,Three Or More,,,No,,,,,Composition,,"Dishwasher(s), Disposal, Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,,,0,Gas,3,,Garden Space,Sold,,0.15 Acres,Lincoln High,,,,,0,,Public,No,No,Level,0,2,,,TPU,House,,,,Wood Burning,,"Ceramic Tile, Hardwood, Carpet",Tacoma,,No,,Detached Garage,Main,,"Brick, Wood",,West,No,2025,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2439077-3719-S-M-Street-Tacoma-WA-98418/,0.1492,2,1,$0 ,0,,"SOLD: FEB 20, 2026",,,Very Good,0,,Contemporary,,,1,"Poured Concrete, See Remarks",No,0,3 Beds,"Cash, Conventional, Rehab Loan, VA Loan",,Pierce,"Alley, Curbs, Paved, Sidewalk",,,47.2239533,-122.4504105
,"From North 21st Street and Stevens head east to South 7th, turn south on South 7th Street to home on the south side of the street.",No,No,"Dishwasher(s), Dryer(s), Garbage Disposal, LeasedEquipment, Refrigerator(s), Stove(s)/Range(s), Washer(s)",,2,,No,Yes,,0,,,0 sqft,,Yes,"$501,000 ",,,,1,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Welcome home to this Central Tacoma charmer. Located one block off 6th Ave, this centrally located craftsman features stunning century-old details like refinished fir wood floors and a restored origin","Welcome home to this Central Tacoma charmer. Located one block off 6th Ave, this centrally located craftsman features stunning century-old details like refinished fir wood floors and a restored original shiplap wall with all the comforts of fully updated systems throughout (2016) including: an all new electrical system (including panel), pex plumbing, new roof, insulation (attic, crawl space, walls), new interior wall coverings/paint, Hardie plank siding/paint, mini split heating/cooling system, and kitchen appliances—PLUS a fully remodeled bathroom (2024) and brand-new custom-built detached one-car garage/shop (2020) surrounded by a beautiful garden space that makes this home a one-of-a-kind must see.",,Laundry Room,,"Wood, Wood Products",,,0,No,1,,Fenced-Partially,,,"Ceramic Tile, Double Pane/Storm Window, Fir/Softwood, Water Heater",,Sewer Connected,TAC,1,,"Ductless HP-Mini Split, Wall Unit(s)","4424 7th Street
Tacoma, WA 98405",,,,FullyFenced,,1,764 SQFT,,Hunt,"$4,066 ",Click here,Fletcher Heights,,"$501,000 ",764 sqft,North Tacoma,1920,Y,23 - North Tacoma,,0,0,,,,0,Square Feet,2024-11-25T19:04:09.107Z,,,1,6000,,,1 Baths,Electric,0,0 sqft,See Remarks,One,,Delong,No,Residential,,,,Composition,,"Dishwasher(s), Dryer(s), Disposal, Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,Territorial,,0,Electric,1,,Garden Space,Sold,,0.14 Acres,Silas High School,11,,,,0,Ductless HP-Mini Split,Public,No,No,"Level, Partial Slope",0,0,,,TPU,House,,,,,,"Ceramic Tile, Softwood",Tacoma,,No,,Detached Garage,Main,,,,North,No,2024,Residential,2,,Tacoma,,50x120,https://www.premierepropertygroup.com/property/21-2304881-4424-7th-Street-Tacoma-WA-98405/,0.1377,0,,$0 ,2,,"SOLD: NOV 25, 2024",,,Very Good,0,,Craftsman,1,,0,Poured Concrete,No,0,2 Beds,"Cash Out, Conventional",,Pierce,"Paved, Sidewalk",,,47.2542356,-122.4972599
